id,name,link,current_price,original_price,discount_rate,rating_average,quantity_sold,authors,seller_name,category,manufacturer,short_description
276077657,Năm Điều Ước Của Ông Murray Mcbride,https://tiki.vn/product-p276077657.html?spid=276077658,105000,139000,24,4.6,206,Quỳnh,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Dân Trí,Giới thiệu sáchTuổi già có thực sự đáng sợ không? Sẽ ra sao khi ta là người duy nhất trong dòng họ còn sống trên đời? Sẽ ra sao khi phải sống trong ngôi nhà từng có những tiếng nói cười của người vợ ...
276019606,Không Gia Đình (Tái Bản),https://tiki.vn/product-p276019606.html?spid=276019609,134300,215000,38,5.0,835,Hector Malot,Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Văn Học,""" Ngày hôm nay, cái ngày phiêu bạt đầu tiên, đã rất tồi tệ, vậy thì ngày mai sẽ ra sao đây? Tôi đói, tôi khát, và chỉ còn lại ba xu trong túi. Cho dù có ra sức thò tay vào túi mà xoa nắn chúng, th..."
275946529,Những Tấm Lòng Cao Cả,https://tiki.vn/product-p275946529.html?spid=275946531,105000,139000,24,5.0,206,Edmondo De Amicis,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Dân Trí,"Giới thiệu sáchLà áng văn mẫu mực trong kho tàng tác phẩm văn học kinh điển dành cho thiếu nhi, kể từ khi ra mắt lần đầu vào cuối thế kỉ 19, cho đến nay, Những Tấm Lòng Cao Cả của Edmondo De Amicis v..."
274466425,Cứu Tinh Xứ Cát - Dune Phần 2,https://tiki.vn/product-p274466425.html?spid=274466426,124000,150000,17,4.8,1717,Frank Herbert,Tiki Trading,Tác phẩm kinh điển,Nhà Xuất Bản Hội Nhà Văn,"Nhiều năm sau khi trở thành Hoàng đế Xứ Cát và đấng tiên tri của con dân đế quốc liên hành tinh, Pual Muad’dib vẫn chẳng mấy khi có được an bình. Những kẻ thù không đội trời chung vẫn không buông tha ..."
273688229,Trăm Năm Cô Đơn,https://tiki.vn/product-p273688229.html?spid=273688230,151200,199000,24,5.0,186,Gabriel Garcia Marquez,Nhà sách Fahasa,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Văn Học,"    Trăm Năm Cô Đơn   “Chỉ với một bước nhảy, Gabriel García Márquez đã vụt lên ngang hàng với Günter Grass và Vladimir Nabokov.”   - The New York Times   “Xuất sắc, hỗn độn, với tầm ảnh hưởng l..."
273524655,Nếu một đêm đông có người lữ khách,https://tiki.vn/product-p273524655.html?spid=273524656,97150,145000,33,5.0,100,Italo Calvino,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Văn Học,"Một cái kết mở thì rất nhiều nhà văn giỏi đã làm, nhưng một cái mở không tiến lên, thậm chí không kết, thì hình như chỉ một người như Italo Calvino mới dám biến thành trò chơi tiểu thuyết của mình. Là..."
273524646,Anna Karenina - Tập 1,https://tiki.vn/product-p273524646.html?spid=273524648,123950,185000,33,4.8,84,Lev Tolstoy,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Hội Nhà Văn,"“ ‘Này, ông chủ, mời ông lại đây nếm thử món xúp mì của lão,’ ông già nói và quỳ xuống chiếc bát.Món xúp ngon đến nỗi Levin không muốn về nhà ăn trưa nữa. Chàng ăn chung với ông già và cùng bàn bạc v..."
273524641,Anna Karenina - Tập 2,https://tiki.vn/product-p273524641.html?spid=273524644,109967,165000,33,4.7,85,Lev Tolstoy,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Hội Nhà Văn,"“Tất nhiên, bao giờ lão ta chả có lý, lão ta là người ngoan đạo, cao thượng mà! Thật là một con người đê tiện và bỉ ổi! Và điều đó, ngoài mình ra, không ai hiểu và sau này cũng sẽ không ai hiểu mà chí..."
273457566,Thép đã tôi thế đấy (Bản dịch đầy đủ nhất) - Bìa mềm,https://tiki.vn/product-p273457566.html?spid=273457569,94900,125000,24,4.7,828,Nikolai A.Ostrovsky,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,"Thép Đã Tôi Thế Đấy của N.A.Ostrovsky sẽ trả lời cho chúng ta: ""Thế nào là thép đã tôi? Trong tác phẩm, nhà văn đã tập trung miêu tả sự trưởng thành của Pavel như quá trình tôi luyện một thanh thé..."
263391841,Hai Vạn Dặm Dưới Biển,https://tiki.vn/product-p263391841.html?spid=263391844,61657,99000,38,4.8,637,Jules Verne,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Kim Đồng,"Một con thủy quái khổng lồ bỗng nhiên xuất hiện làm điêu đứng cả ngành hàng hải. Một đoàn thám hiểm nhổ chiếc neo tàu ra khơi với nhiệm vụ tiêu diệt con quái vật ấy, dù có phải đánh đổi bằng cả mạng s..."
219148748,Chú bé mang Pyjama sọc,https://tiki.vn/product-p219148748.html?spid=219148749,51464,79000,35,5.0,1432,John Boyne,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Hội Nhà Văn,"Rất khó miêu tả câu chuyện về Chú bé mang pyjama sọc này. Thường thì chúng tôi vẫn tiết lộ vài chi tiết về cuốn sách trên bìa, nhưng trong trường hợp này chúng tôi nghĩ làm như vậy sẽ làm hỏng cảm giá..."
205033951,Một chỗ trong đời,https://tiki.vn/product-p205033951.html?spid=205033955,43494,69000,37,5.0,1548,Annie Ernaux,Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Hội Nhà Văn,"Một người cha không bao giờ bước chân vào viện bảo tàng, chỉ đọc báo địa phương, không dùng gì khác ngoài con dao Opinel của riêng mình để ăn. Một người cha xuất thân nông dân rồi trở thành công nhân ..."
195545332,Không Gia Đình,https://tiki.vn/product-p195545332.html?spid=195545339,126000,175000,28,5.0,287,Hector Malot,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Văn Học,"Hector Malot (1830 –1907) là nhà văn nổi tiếng người Pháp. Trong sự nghiệp của mình, ông đă viết trên 70 tác phẩm. Các tác phẩm Rômanh Cambơri (1869), Không gia đình (Sans Famille 1878), Trong gia đìn..."
195545286,Hai Vạn Dặm Dưới Đáy Biển,https://tiki.vn/product-p195545286.html?spid=195545287,78600,102000,23,5.0,361,Jules Verne,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Văn Học,"Jules Gabriel Verne (1828 - 1905), là nhà văn Pháp nổi tiếng, được coi là một trong những người “Cha đẻ” của thể loại NXB Văn Học Khoa học viễn tưởng. Ở Jules Verne, nhà văn và nhà bác học chỉ là một...."
195306005,Nhà thờ Đức Bà Paris (Bìa Cứng),https://tiki.vn/product-p195306005.html?spid=195306006,521000,650000,20,4.8,414,Victor Hugo,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Văn Học,"Quanh cái “nhân vật chính” là nhà thờ Đức Bà, một xã hội Paris thời Trung cổ đã được tái hiện với tất cả những gì rạng rỡ nhất và suy đồi nhất của nó, không bỏ sót tầng lớp nào từ vua chúa đến thường ..."
195306000,Tư trị thông giám - Tập 9,https://tiki.vn/product-p195306000.html?spid=195306002,229000,285000,20,5.0,252,Phạm Thành Long,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Văn Học,"TƯ TRỊ THÔNG GIÁM - TẬP 9Tư trị thông giám tập chín mở đầu bằng việc Tiêu Đạo Thành ép Tống Thuận đế nhường ngôi. Bản thân Tiêu Đạo Thành cũng hiểu rõ ""Tống thị nếu không có cốt nhục tương tàn, tộc k..."
